Province/ Territory,City,Dataset Name,Link to Dataset,Link to Dataset License,Attribution Statement (if provided),License Title  (if provided),Date last updated as of date of download,,,,,
ON,Brampton,Brampton Business Directory,https://geohub.brampton.ca/datasets/brampton-business-directory/explore?location=43.730712%2C-79.750850%2C10.00,https://creativecommons.org/licenses/by/4.0/,,CC BY 4.0,11/22/2021,,,,,
ON,Caledon,Caledon Business Directory 2018,https://data.peelregion.ca/datasets/caledon-business-directory-2018/explore?showTable=true,https://data.peelregion.ca/pages/license,Contains public sector Information made available under The Regional Municipality of Peel's Open Data Licence - Version 1.0.,UK Government's Open Government Licence,..,,,,,
ON,Cambridge,Business Directory,https://geohub.cambridge.ca/datasets/KitchenerGIS::business-directory/explore?location=43.431511%2C-80.473736%2C12.77,https://geohub.cambridge.ca/datasets/KitchenerGIS::business-directory/explore?location=43.431492%2C-80.473736%2C12.77, Contains information licensed under the Open Government Licence - The Corporation of the City of Kitchener.,,..,,,,,
ON,"Durham (Oshawa, Ajax, Pickering, Whitby)",Business Directory,https://opendata.durham.ca/datasets/business-directory/explore?location=44.131050%2C-78.898350%2C9.75,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,Contains public sector Information made available under the Regional Municipality of Durham's Open Data Licence,,11/30/2020,,,,,
ON,"Durham Region (Oshawa, Pickering)",Business Directory,https://opendata.pickering.ca/datasets/DurhamRegion::business-directory/explore?location=44.131050%2C-78.898350%2C10.23,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,Contains public sector Information made available under the RegionalMunicipality of Durham's Open Data Licence,,..,,,,,
ON,Guelph,Business Licenses,http://data.open.guelph.ca/dataset/business-licence/resource/c5deda33-3375-4aea-a55f-17b16c490d42,http://data.open.guelph.ca/pages/open-government-licence,Contains information provided by the City of Guelph under an open government license,City of Hamilton's Open Data Licence,11/22/2021,,,,,
ON,Hamilton,Licensed Basic Food Shops,https://open.hamilton.ca/datasets/59afd6534e4849ccae93c9ed0049a445_14/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Hamilton,Licensed Food Establishments,https://open.hamilton.ca/datasets/85c1b5c9e931470d94f0c9ff5acaa341_2/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Hamilton,Licensed Kennels and Pet Shops,https://open.hamilton.ca/datasets/c5a848d9c40f4e83acb1cd73ab9f4508_3/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Hamilton,Licensed Limousines,https://open.hamilton.ca/datasets/d276c7eb2b2d4a3c972ad18e55cbbcdc_13/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Hamilton,Licensed Lodging Houses,https://open.hamilton.ca/datasets/981c055e3c2448b3be3a4644993f59fc_4/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Hamilton,Licensed Mobile Food Service Vehicles,https://open.hamilton.ca/datasets/cd820e6df0b74ed2a3c7a9df539de67f_5/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Hamilton,Licensed Places of Amusement,https://open.hamilton.ca/datasets/5de18a38cd37457dae49f22c0a9b76b3_7/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Hamilton,Licensed Public Garages,https://open.hamilton.ca/datasets/c1e7c884bbea4f26a32118ecf830b764_8/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Hamilton,Licensed Public Halls,https://open.hamilton.ca/datasets/044e4d91ba0f4fb2ba162dcd327e6dcc_9/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Hamilton,Licensed Trade Contractors & Masters,https://open.hamilton.ca/datasets/f48cbeb4be8847c1bd09731663ef696c_1/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Hamilton,Licensed Residential Care Facilities,https://open.hamilton.ca/datasets/e37b13a002544e359350c31b2d48ee47_10/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,, 
ON,Hamilton,Licensed Salvage Yards,https://open.hamilton.ca/datasets/04317a5ccfe04dad98f8b7a35f3388d1_11/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Hamilton,Licensed Second Hand Shops,https://open.hamilton.ca/datasets/b1f09efe93a549d3b3f600d1d93b5305_12/explore,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton's Open Data Licence,City of Hamilton's Open Data Licence,10/15/2021,,,,,
ON,Kitchener/Waterloo,Business Directory,https://geohub.cambridge.ca/datasets/KitchenerGIS::business-directory/explore?location=43.431239%2C-80.473736%2C11.00,https://www.kitchener.ca/en/council-and-city-administration/open-data-licence.aspx,Contains information licensed under the Open Government Licence - The Corporation of the City of Kitchener,Open Government License - The Corporation of the City of Kitchener,11/23/2021,,,,,
ON,Mississauga,2019 Mississauga Business Directory,https://opendata.arcgis.com/datasets/f8fa454b6c2d4b1f99a0b51149e2afc1_0.geojson,http://www5.mississauga.ca/research_catalogue/CityofMississauga_TermsofUse.pdf,,Custom, 2020-03-03,,,,,
ON,N/A,Ontario Environment Business Directory,https://data.ontario.ca/dataset/ontario-environment-business-directory,https://www.ontario.ca/page/copyright-information,"© King's Printer for Ontario, 20__.* *The year of first publication of the legal materials is to be completed.",King's Printer for Ontario,..,,,,,
ON,Ottawa,Cultural Spaces Inventory,https://open.ottawa.ca/datasets/cultural-spaces-inventory/explore?location=45.619229%2C-75.668228%2C8.48&showTable=true,https://ottawa.ca/en/city-hall/open-transparent-and-accountable-government/open-data#open-data-licence-version-2-0,Contains information licensed under the Open Government Licence - City of Ottawa.,Open Government Licence - City of Ottawa,..,,,,,
ON,Ottawa,Street Food Vendors,https://open.ottawa.ca/datasets/street-food-vendors/explore?location=45.398751%2C-75.710140%2C3.83&showTable=true,https://ottawa.ca/en/city-hall/open-transparent-and-accountable-government/open-data#open-data-licence-version-2-0,Contains information licensed under the Open Government Licence - City of Ottawa.,Open Government Licence - City of Ottawa,3/2/2020,,,,,
ON,Peel,Business Establishments,https://data.peelregion.ca/datasets/business-establishments/explore,https://www.statcan.gc.ca/en/reference/licence,"Source: Statistics Canada, name of product, reference date. Reproduced and distributed on an as is basis with the permission of Statistics Canada.",,3/9/2021,,,,,
ON ,N/A,Select License and Registration Data,https://data.ontario.ca/dataset/select-licence-and-registration-data,https://www.ontario.ca/page/open-government-licence-ontario,Contains information licensed under the Open Government Licence - Ontario.,,4/7/2021,,,,,
ON ,N/A,Ontario Environment Business Directory,https://data.ontario.ca/dataset/ontario-environment-business-directory,https://www.ontario.ca/page/copyright-information-c-queens-printer-ontario,Contains information licensed under the Open Government Licence - Ontario.," King's Printer for Ontario, 2022.*",,,,,,
ON ,Toronto,Business Licences and Permits,https://open.toronto.ca/dataset/municipal-licensing-and-standards-business-licences-and-permits/,https://open.toronto.ca/open-data-license/,Contains information licensed under the Open Government Licence - Toronto,Open Government Licence,..,,,,,
ON ,Welland,Welland Business Directory,https://open.welland.ca/datasets/83cab91d949a48fdbc26763dbe6c3778_2/explore,https://open.welland.ca/pages/terms-of-use,Contains information licensed under the Open Government Licence - City of Welland.,Open Government Licence,..,,,,,
ON ,Welland,Welland Business Directory,https://open.welland.ca/datasets/welland-business-directory,https://niagaraopendata.ca/pages/open-government-license-2-0-city-of-welland,Contains information licensed under the Open Government Licence - City of Welland.,,1/15/2021,,,,,
ON ,"York Region (Markham, Vaughn, Richmond Hill)",York Region 2019 Business Directory,https://insights-york.opendata.arcgis.com/documents/york::york-region-2019-business-directory/about,https://insights-york.opendata.arcgis.com/documents/york-region-open-data-licence/explore,Contains public sector  information made available under The Regional Municipality of York's Open Data Licence,UK Government's Open Government Licence,8/13/2021,,,,,
